iter	Passed	Remaining
0	28	14206
1	67	16876
2	101	16829
3	124	15433
4	150	14867
5	178	14704
6	204	14403
7	229	14114
8	264	14427
9	300	14714
10	327	14560
11	356	14511
12	386	14487
13	420	14593
14	448	14515
15	475	14392
16	504	14340
17	533	14278
18	563	14265
19	589	14148
20	615	14035
21	638	13880
22	658	13652
23	676	13417
24	691	13134
25	706	12881
26	722	12650
27	737	12437
28	754	12255
29	771	12091
30	788	11925
31	805	11775
32	826	11697
33	842	11544
34	859	11413
35	874	11265
36	889	11129
37	906	11016
38	920	10884
39	936	10765
40	953	10670
41	972	10605
42	987	10492
43	1004	10405
44	1018	10299
45	1034	10207
46	1049	10119
47	1066	10039
48	1082	9966
49	1098	9882
50	1112	9798
51	1128	9718
52	1142	9635
53	1157	9561
54	1174	9503
55	1188	9426
56	1205	9365
57	1222	9318
58	1239	9263
59	1262	9260
60	1283	9237
61	1378	9740
62	1435	9954
63	1450	9882
64	1466	9816
65	1483	9754
66	1498	9686
67	1513	9617
68	1530	9559
69	1544	9489
70	1559	9425
71	1577	9374
72	1592	9315
73	1608	9258
74	1625	9208
75	1642	9165
76	1658	9108
77	1674	9060
78	1691	9011
79	1706	8958
80	1720	8898
81	1735	8844
82	1750	8795
83	1767	8751
84	1785	8717
85	1803	8679
86	1817	8627
87	1832	8578
88	1847	8531
89	1863	8487
90	1879	8447
91	1896	8409
92	1910	8362
93	1925	8314
94	1939	8267
95	1954	8224
96	1969	8183
97	1985	8145
98	1999	8100
99	2015	8063
100	2032	8028
101	2047	7988
102	2062	7948
103	2078	7912
104	2093	7876
105	2108	7838
106	2123	7800
107	2137	7758
108	2152	7719
109	2168	7687
110	2184	7657
111	2199	7618
112	2213	7582
113	2229	7548
114	2245	7518
115	2273	7526
116	2291	7501
117	2306	7466
118	2321	7431
119	2335	7396
120	2350	7362
121	2365	7328
122	2380	7297
123	2398	7271
124	2415	7247
125	2430	7214
126	2445	7181
127	2460	7149
128	2475	7118
129	2491	7090
130	2507	7062
131	2522	7031
132	2537	7001
133	2552	6970
134	2566	6939
135	2581	6908
136	2597	6881
137	2612	6853
138	2627	6825
139	2642	6795
140	2656	6764
141	2671	6736
142	2687	6709
143	2704	6685
144	2719	6657
145	2734	6629
146	2750	6604
147	2764	6575
148	2784	6559
149	2802	6538
150	2820	6519
151	2835	6491
152	2849	6463
153	2864	6434
154	2879	6408
155	2894	6381
156	2912	6362
157	2926	6335
158	2942	6310
159	2957	6285
160	2973	6261
161	2987	6233
162	3002	6206
163	3019	6186
164	3036	6164
165	3052	6140
166	3067	6116
167	3082	6091
168	3097	6067
169	3115	6048
170	3130	6022
171	3143	5995
172	3158	5969
173	3173	5945
174	3187	5920
175	3208	5906
176	3225	5885
177	3240	5861
178	3261	5848
179	3281	5833
180	3334	5876
181	3407	5954
182	3440	5960
183	3456	5936
184	3472	5912
185	3488	5889
186	3504	5865
187	3524	5848
188	3539	5823
189	3554	5799
190	3569	5774
191	3584	5750
192	3599	5726
193	3615	5702
194	3633	5683
195	3648	5658
196	3662	5633
197	3677	5609
198	3692	5584
199	3707	5561
200	3724	5540
201	3739	5517
202	3754	5492
203	3773	5475
204	3789	5452
205	3804	5430
206	3818	5405
207	3835	5384
208	3850	5361
209	3866	5339
210	3882	5317
211	3898	5295
212	3913	5273
213	3928	5250
214	3948	5233
215	3972	5222
216	3988	5201
217	4003	5178
218	4021	5159
219	4037	5139
220	4053	5117
221	4067	5093
222	4082	5070
223	4097	5048
224	4112	5025
225	4127	5003
226	4143	4983
227	4159	4962
228	4173	4939
229	4188	4916
230	4203	4894
231	4218	4873
232	4235	4853
233	4252	4834
234	4267	4812
235	4282	4790
236	4296	4767
237	4311	4746
238	4325	4723
239	4339	4701
240	4355	4680
241	4370	4659
242	4384	4637
243	4403	4619
244	4422	4602
245	4436	4580
246	4454	4562
247	4468	4540
248	4483	4519
249	4498	4498
250	4514	4478
251	4529	4457
252	4544	4437
253	4562	4418
254	4576	4397
255	4591	4376
256	4606	4355
257	4621	4334
258	4636	4313
259	4650	4292
260	4666	4273
261	4682	4253
262	4696	4232
263	4712	4212
264	4729	4194
265	4745	4174
266	4762	4156
267	4780	4138
268	4795	4118
269	4813	4100
270	4829	4080
271	4844	4060
272	4860	4041
273	4877	4022
274	4891	4002
275	4906	3981
276	4920	3961
277	4936	3942
278	4959	3928
279	5011	3937
280	5070	3951
281	5116	3955
282	5132	3935
283	5147	3915
284	5161	3893
285	5177	3874
286	5194	3855
287	5214	3838
288	5228	3817
289	5243	3797
290	5259	3777
291	5276	3758
292	5293	3739
293	5308	3719
294	5323	3699
295	5343	3682
296	5359	3663
297	5375	3643
298	5392	3624
299	5407	3604
300	5423	3585
301	5438	3565
302	5453	3545
303	5469	3526
304	5483	3505
305	5500	3487
306	5514	3466
307	5529	3446
308	5546	3428
309	5562	3409
310	5576	3388
311	5595	3371
312	5611	3352
313	5627	3333
314	5643	3314
315	5664	3298
316	5685	3282
317	5701	3263
318	5718	3244
319	5732	3224
320	5749	3206
321	5767	3188
322	5782	3168
323	5798	3149
324	5815	3131
325	5829	3111
326	5844	3091
327	5860	3072
328	5875	3054
329	5892	3035
330	5907	3016
331	5923	2997
332	5939	2978
333	5953	2958
334	5967	2939
335	5981	2919
336	5999	2901
337	6015	2883
338	6032	2864
339	6047	2845
340	6067	2828
341	6097	2816
342	6123	2802
343	6149	2788
344	6170	2772
345	6189	2754
346	6212	2739
347	6235	2723
348	6253	2705
349	6273	2688
350	6290	2670
351	6306	2651
352	6320	2632
353	6336	2613
354	6354	2595
355	6370	2576
356	6385	2557
357	6404	2540
358	6419	2521
359	6435	2502
360	6452	2484
361	6468	2466
362	6483	2447
363	6497	2427
364	6516	2410
365	6533	2392
366	6553	2375
367	6574	2358
368	6591	2340
369	6610	2322
370	6630	2305
371	6656	2290
372	6713	2285
373	6788	2286
374	6840	2280
375	6859	2262
376	6880	2244
377	6900	2227
378	6921	2209
379	6940	2191
380	6963	2175
381	6983	2157
382	7003	2139
383	7025	2122
384	7039	2102
385	7056	2084
386	7074	2065
387	7088	2046
388	7105	2027
389	7120	2008
390	7135	1989
391	7150	1970
392	7168	1951
393	7181	1932
394	7202	1914
395	7225	1897
396	7245	1879
397	7267	1862
398	7287	1844
399	7302	1825
400	7317	1806
401	7331	1787
402	7345	1768
403	7361	1749
404	7378	1730
405	7393	1711
406	7412	1693
407	7426	1674
408	7442	1655
409	7457	1636
410	7474	1618
411	7489	1599
412	7505	1581
413	7521	1562
414	7544	1545
415	7560	1526
416	7579	1508
417	7593	1489
418	7607	1470
419	7625	1452
420	7640	1433
421	7656	1415
422	7671	1396
423	7693	1378
424	7708	1360
425	7726	1342
426	7743	1323
427	7757	1305
428	7773	1286
429	7790	1268
430	7805	1249
431	7819	1230
432	7835	1212
433	7850	1193
434	7865	1175
435	7879	1156
436	7895	1138
437	7910	1119
438	7925	1101
439	7941	1082
440	7954	1064
441	7970	1045
442	7985	1027
443	8004	1009
444	8020	991
445	8035	972
446	8049	954
